,course_name,course_category,course_subcategory,students_enrolled,course_difficulty,course_rating,course_rating_count
29,"A tanulás tanulása: Hatékony mentális eszközök, melyek segítenek megbirkózni a nehéz tantárgyakkal (Learning How to Learn)",Personal Development,Personal Development,"9,119",Beginner Level,4.9,
30,Advanced App Development in Android Capstone,Computer Science,Software Development,"6,046",Intermediate Level,,
31,"Capstone MOOC for ""Android App Development""",Computer Science,Mobile and Web Development,"9,585",Approx. 4 hours to complete,4.0,29 ratings
32,Anatomy of the Abdomen and Pelvis; a journey from basis to clinic.  ,Health,Basic Science,"25,087",Approx. 44 hours to complete,4.8,
33,Introduction to Ableton Live,Arts and Humanities,Music and Art,"51,344",Approx. 14 hours to complete,4.8,986 ratings
34,Aboriginal Worldviews and Education,Social Sciences,Education,"42,829",Approx. 14 hours to complete,4.7,142 ratings
35,"Abstraction, Problem Decomposition, and Functions",Computer Science,Software Development,"6,925",Beginner Level,4.6,
36,Academic Discussions in English,Language Learning,Learning English,"33,076",Intermediate Level,4.4,68 ratings
37,Academic Literacy,Language Learning,Learning English,"143,502",Intermediate Level,4.6,291 ratings
38,Academic Skills for University Success: Capstone,Social Sciences,Education,"94,898",Approx. 31 hours to complete,4.9,194 ratings
39,Project: Writing a Research Paper,Language Learning,Learning English,"72,356",Approx. 10 hours to complete,4.8,
40,Academic Information Seeking,Personal Development,Personal Development,"21,662",Approx. 6 hours to complete,4.7,348 ratings
41,Access Controls ,Information Technology,Security,"23,074",Beginner Level,4.6,177 ratings
42,An Introduction to Accessibility and Inclusive Design,Information Technology,Support and Operations,"28,054",Beginner Level,4.7,57 ratings
43,Accessibility to the Scenic Arts,Arts and Humanities,Music and Art,"4,887",Intermediate Level,,
44,Account Management & Sales Force Design,Business,Leadership and Management,"38,158",Approx. 15 hours to complete,4.5,147 ratings
45,Accounting for Decision Making,Business,Finance,"89,833",Intermediate Level,4.8,241 ratings
46,Accounting Analysis II: Accounting for Liabilities and Equity,Business,Business Essentials,"19,292",Intermediate Level,4.6,56 ratings
47,Accounting Analysis II: Measurement and Disclosure of Liabilities,Business,Business Essentials,"37,864",Intermediate Level,4.7,57 ratings
48,Accounting Analytics,Business,Finance,"64,529",Approx. 10 hours to complete,4.5,"2,605 ratings"
49,"Accounting, Business and Society:  The Multi-faceted Role of Accounting",Business,Business Essentials,"13,148",Beginner Level,4.8,
50,Accounting Data Analytics with Python,Data Science,Data Analysis,"18,977",Intermediate Level,3.8,
51,Accounting and Finance for IT professionals,Business,Finance,"52,480",Beginner Level,4.6,363 ratings
52,"Managerial Accounting: Cost Behaviors, Systems, and Analysis",Business,Finance,"76,787",Approx. 20 hours to complete,4.8,
53,Fundamentals of Accounting Capstone,Business,Business Essentials,"7,182",Beginner Level,,6 ratings
54,Accounting Analysis I: The Role of Accounting as an Information System,Business,Business Essentials,"125,897",Intermediate Level,4.9,
55,Achieving Your Optimal Performance,Personal Development,Personal Development,"20,552",Beginner Level,4.6,
56,Acing the Product Management Interview,Computer Science,Design and Product,"4,181",Approx. 15 hours to complete,,
57,"Act on Climate: Steps to Individual, Community, and Political Action",Physical Science and Engineering,Environmental Science and Sustainability,"26,516",Beginner Level,4.8,90 ratings
58,ART of the MOOC: Activism and Social Movements,Arts and Humanities,Music and Art,"8,952",Approx. 10 hours to complete,4.5,95 ratings
59, Prehospital care of acute stroke and patient selection for endovascular treatment using the RACE scale,Health,Patient Care,"3,889",Intermediate Level,4.7,43 ratings
60,The Addicted Brain,Health,Basic Science,"94,907",Beginner Level,4.6,"1,763 ratings"
61,Addiction Treatment: Clinical Skills for Healthcare Providers,Health,Patient Care,"109,651",Beginner Level,4.9,
62,ADHD: Everyday Strategies for Elementary Students,Social Sciences,Education,"46,296",Beginner Level,4.7,"1,419 ratings"
63,Adjectives and Adjective Clauses,Language Learning,Learning English,"179,610",Approx. 25 hours to complete,4.8,898 ratings
64,Advanced Algorithms and Complexity,Computer Science,Algorithms,"55,426",Advanced Level,4.6,
65,Advanced Chemistry,Physical Science and Engineering,Chemistry,"54,684",Approx. 17 hours to complete,4.7,
66,Advanced Competitive Strategy,Business,Business Strategy,"36,272",Approx. 12 hours to complete,4.7,742 ratings
67,Advanced Data Science Capstone,Data Science,Machine Learning,"22,611",Advanced Level,4.6,328 ratings
68,Advanced Data Structures in Java,Computer Science,Algorithms,"56,725",Intermediate Level,4.8,
69,Advanced Deployment Scenarios with TensorFlow,Computer Science,Software Development,"33,888",Approx. 12 hours to complete,4.6,202 ratings
70,Data Visualization with Advanced Excel,Data Science,Data Analysis,"64,668",Beginner Level,4.8,"2,487 ratings"
71,Advanced Financial Reporting: Accounting for Business Combinations and Preparation of Consolidated Financial Statements,Business,Business Essentials,"50,565",Advanced Level,4.8,58 ratings
72,Advanced Functional Ceramics,Physical Science and Engineering,Environmental Science and Sustainability,"8,014",Approx. 16 hours to complete,4.7,75 ratings
73,Advanced Grammar & Punctuation Project,Language Learning,Learning English,"23,713",Advanced Level,4.6,
74,Advanced Machine Learning and Signal Processing,Data Science,Machine Learning,"54,071",Advanced Level,4.5,"1,044 ratings"
75,Advanced Manufacturing Enterprise,Physical Science and Engineering,Mechanical Engineering,"34,060",Beginner Level,4.6,530 ratings
76,Advanced Manufacturing Process Analysis,Physical Science and Engineering,Mechanical Engineering,"35,464",Beginner Level,4.6,
77,Mastering Programming with MATLAB,Computer Science,Software Development,"139,616",Intermediate Level,,20 ratings
78,Overview of Advanced Methods of Reinforcement Learning in Finance,Computer Science,Algorithms,"8,557",Advanced Level,3.8,63 ratings
79,Advanced Modeling for Discrete Optimization,Computer Science,Software Development,"7,105",Intermediate Level,4.9,100 ratings
80,Advanced Neurobiology I,Health,Basic Science,"35,632",Intermediate Level,4.0,405 ratings
81,Advanced Portfolio Construction and Analysis with Python,Business,Finance,"43,316",Intermediate Level,4.8,272 ratings
82,Advanced R Programming,Data Science,Data Analysis,"27,661",Intermediate Level,4.3,
83,Creating Advanced Reports with SAS Visual Analytics,Data Science,Data Analysis,"22,654",Intermediate Level,4.7,117 ratings
84,Advanced SAS Programming Techniques,Data Science,Data Analysis,"8,760",Intermediate Level,,8 ratings
85,Advanced System Security Topics,Computer Science,Computer Security and Networks,"32,191",Beginner Level,4.4,58 ratings
86,Advanced Trading Algorithms,Business,Finance,"19,617",Intermediate Level,4.6,452 ratings
87,"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Business,Finance,"192,782",Advanced Level,4.7,656 ratings
88,Advanced Writing,Language Learning,Learning English,"322,736",Approx. 20 hours to complete,4.7,"1,450 ratings"
89,Advanced Neurobiology II,Health,Basic Science,"8,899",Intermediate Level,,97 ratings
90,Advertising with Facebook,Business,Marketing,"8,721",Approx. 3 hours to complete,,
91,Aerial Photography with UAV,Computer Science,Design and Product,"1,717",Approx. 11 hours to complete,,
92,Digitalisation in Aeronautics,Physical Science and Engineering,Mechanical Engineering,"11,667",Approx. 10 hours to complete,5.0,
93,African cities : An Introduction to Urban Planning,Social Sciences,Governance and Society,"7,496",Intermediate Level,4.4,
94,After the Arab Spring – Democratic Aspirations and State Failure,Social Sciences,Governance and Society,"23,987",Beginner Level,4.7,389 ratings
95,Age of Cathedrals,Arts and Humanities,History,"38,941",Beginner Level,4.7,
96,Age of Jefferson,Arts and Humanities,History,"8,737",Beginner Level,4.7,
97,Agile with Atlassian Jira,Computer Science,Software Development,"188,010",Beginner Level,4.7,"2,668 ratings"
98,Agile Leadership Capstone,Business,Leadership and Management,0,0,,
99,Agile Leader Training,Business,Leadership and Management,"2,787",Approx. 15 hours to complete,,
100,Agile Leadership: Introduction to Change,Business,Leadership and Management,0,Approx. 9 hours to complete,,
101,Agile Organization,Business,Leadership and Management,0,0,,
102,Agile Planning for Software Products,Computer Science,Software Development,"111,204",Approx. 12 hours to complete,4.7,"1,683 ratings"
103,Agile Software Development,Computer Science,Software Development,"575,544",Approx. 12 hours to complete,4.7,
104,Healthy Aging and the Future of Cannabis Research,Health,Public Health,"5,078",Approx. 8 hours to complete,4.8,42 ratings
105,Challenges of Agribusiness Management,Business,Entrepreneurship,"23,442",Approx. 5 hours to complete,4.8,86 ratings
106,"Agriculture, Economics and Nature",Social Sciences,Economics,"50,090",Beginner Level,4.7,263 ratings
107,Applied AI with DeepLearning,Data Science,Machine Learning,"49,303",Advanced Level,4.4,935 ratings
108,Artificial Intelligence Algorithms Models and Limitations,Data Science,Data Analysis,"5,053",Beginner Level,,
109,Artificial Intelligence Data Fairness and Bias						,Computer Science,Algorithms,"6,950",Beginner Level,,7 ratings
110,AI Capstone Project with Deep Learning ,Data Science,Machine Learning,"32,354",Advanced Level,4.5,268 ratings
111,Artificial Intelligence Ethics in Action,Data Science,Data Analysis,"1,654",Intermediate Level,,
112,AI For Everyone,Business,Business Strategy,"1,145,820",Approx. 6 hours to complete,4.8,"27,644 ratings"
113,الذكاء الاصطناعي للجميع,Business,Business Strategy,"15,398",Approx. 6 hours to complete,4.8,334 ratings
114,AI for Medical Diagnosis,Data Science,Machine Learning,"174,272",Approx. 19 hours to complete,4.7,"1,152 ratings"
115,AI for Medical Prognosis ,Data Science,Machine Learning,"82,163",Approx. 30 hours to complete,4.7,507 ratings
116,AI For Medical Treatment,Data Science,Machine Learning,"55,432",Approx. 22 hours to complete,4.7,
117,AI in Healthcare Capstone,Health,Health Informatics,"14,201",Approx. 10 hours to complete,,
118,Artificial Intelligence Privacy and Convenience,Data Science,Data Analysis,"2,231",Intermediate Level,,
119,Getting Started with AI using IBM Watson,Data Science,Machine Learning,"97,567",Beginner Level,4.5,
120,AIDS: Fear and Hope,Health,Patient Care,"8,419",Approx. 16 hours to complete,4.8,307 ratings
121,Air Pollution – a Global Threat to our Health,Health,Public Health,"68,979",Beginner Level,4.8,"1,031 ratings"
122,Akademiskt skrivande,Language Learning,Other Languages,"7,695",Beginner Level,,14 ratings
123,Introduction to Algae,Health,Basic Science,"48,988",Intermediate Level,4.7,705 ratings
124,Algorithmic Thinking (Part 1),Computer Science,Software Development,"55,328",Intermediate Level,4.7,
125,Algorithmic Thinking (Part 2),Computer Science,Software Development,"12,240",Intermediate Level,4.7,
126,Algorithmic Toolbox,Computer Science,Algorithms,"1,087,544",Intermediate Level,4.6,"9,433 ratings"
127,"Algorithms, Data Collection, and Starting to Code",Computer Science,Software Development,"24,888",Beginner Level,4.6,211 ratings
128,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",Computer Science,Algorithms,"198,745",Intermediate Level,4.8,"4,186 ratings"
129,"Graph Search, Shortest Paths, and Data Structures",Computer Science,Algorithms,"64,595",Intermediate Level,4.8,"1,696 ratings"
130,"Greedy Algorithms, Minimum Spanning Trees, and Dynamic Programming",Computer Science,Algorithms,"51,564",Intermediate Level,4.8,
131,"Shortest Paths Revisited, NP-Complete Problems and What To Do About Them",Computer Science,Algorithms,"26,261",Intermediate Level,4.8,681 ratings
132,Algorithms on Graphs,Computer Science,Algorithms,"107,800",Intermediate Level,4.7,"1,808 ratings"
133,Algorithms on Strings,Computer Science,Algorithms,"60,937",Intermediate Level,4.5,
134,"Algorithms, Part I",Computer Science,Algorithms,"787,664",Intermediate Level,4.9,"7,842 ratings"
135,"Algorithms, Part II",Computer Science,Algorithms,"176,458",Intermediate Level,4.9,
136,Cloud Computing Fundamentals on Alibaba Cloud,Computer Science,Software Development,"26,965",Approx. 13 hours to complete,4.7,
137,Protecting Cloud Architecture with Alibaba Cloud,Computer Science,Software Development,"6,248",Approx. 12 hours to complete,,34 ratings
138,Big Data Analytical Platform on Alibaba Cloud ,Information Technology,Cloud Computing,"3,575",Approx. 8 hours to complete,4.7,32 ratings
139,Population Health: Alternative Payment Models,Health,Healthcare Management,"3,415",Approx. 20 hours to complete,4.9,
140,Effective Altruism,Arts and Humanities,Philosophy,"16,390",Beginner Level,4.7,467 ratings
141,America Through Foreign Eyes,Arts and Humanities,History,"20,760",Beginner Level,4.7,259 ratings
142,Consonants of American English Pronunciation,Language Learning,Learning English,"102,105",Beginner Level,4.8,133 ratings
143,The Music of American English Pronunciation,Language Learning,Learning English,"28,140",Beginner Level,4.8,
144,Vowels of American English Pronunciation,Language Learning,Learning English,"36,594",Beginner Level,4.8,49 ratings
145,An Introduction to American Law,Social Sciences,Law,"96,806",Beginner Level,4.8,
146,Analysing Complexity,Business,Leadership and Management,"27,254",Beginner Level,4.6,97 ratings
147,Analysis of Business Problems,Business,Marketing,"36,538",Approx. 9 hours to complete,4.7,95 ratings
148,Analysis for Business Systems,Information Technology,Data Management,"54,066",Approx. 9 hours to complete,4.8,200 ratings
149,Analysis of Algorithms,Computer Science,Algorithms,"34,426",Advanced Level,4.6,102 ratings
150,Analytic Combinatorics,Math and Logic,Math and Logic,"11,181",Intermediate Level,4.6,43 ratings
151,Analytical Solutions to Common Healthcare Problems,Health,Health Informatics,"5,292",Intermediate Level,4.5,13 ratings
152,Business Metrics for Data-Driven Companies,Data Science,Data Analysis,"369,652",Approx. 8 hours to complete,4.6,"7,306 ratings"
153,مقاييس الأعمال للشركات التي تعتمد على البيانات,Data Science,Data Analysis,"3,208",Approx. 8 hours to complete,,7 ratings
154,Increasing Real Estate Management Profits: Harnessing Data Analytics,Data Science,Data Analysis,"58,028",Approx. 23 hours to complete,4.7,206 ratings
155,Mastering Data Analysis in Excel,Data Science,Data Analysis,"295,584",Approx. 21 hours to complete,4.2,
156,Introduction to Business Analytics and Information Economics Capstone,Business,Business Strategy,0,Approx. 9 hours to complete,,
157,Managing Big Data with MySQL,Data Science,Data Analysis,"259,362",Approx. 41 hours to complete,4.7,"3,332 ratings"
158,Data Visualization and Communication with Tableau,Data Science,Data Analysis,"345,036",Approx. 25 hours to complete,4.7,"2,681 ratings"
159,Analyzing the Universe,Physical Science and Engineering,Physics and Astronomy,"12,877",Beginner Level,4.8,142 ratings
160,Anatomy: Musculoskeletal and Integumentary Systems,Health,Basic Science,"326,449",Beginner Level,4.8,"1,088 ratings"
161,"Anatomy: Cardiovascular, Respiratory and Urinary Systems",Health,Basic Science,"138,907",Beginner Level,4.8,
162,Anatomy: Human Neuroanatomy,Health,Basic Science,"141,340",Beginner Level,4.9,405 ratings
163,"Anatomy: Gastrointestinal, Reproductive and Endocrine Systems",Health,Basic Science,"101,329",Beginner Level,4.9,312 ratings
164,The Ancient Greeks,Arts and Humanities,History,"71,921",Approx. 20 hours to complete,4.7,
165,Paleontology: Ancient Marine Reptiles,Health,Basic Science,"21,248",Approx. 9 hours to complete,4.9,880 ratings
166,Build Your First Android App (Project-Centered Course),Computer Science,Mobile and Web Development,"234,124",Approx. 22 hours to complete,4.3,
167,Android Graphics with OpenGL ES,Computer Science,Mobile and Web Development,"10,748",Approx. 25 hours to complete,,
168,Programming Mobile Applications for Android Handheld Systems: Part 1,Computer Science,Mobile and Web Development,"20,201",Approx. 28 hours to complete,4.6,624 ratings
169,Programming Mobile Applications for Android Handheld Systems: Part 2,Computer Science,Mobile and Web Development,"5,464",Approx. 20 hours to complete,4.7,169 ratings
170,"Android App Components - Intents, Activities, and Broadcast Receivers",Computer Science,Mobile and Web Development,"46,484",Approx. 14 hours to complete,4.2,621 ratings
171,"Android App Components - Services, Local IPC, and Content Providers",Computer Science,Mobile and Web Development,"21,178",Beginner Level,4.3,
172,Front-End JavaScript Frameworks: Angular,Computer Science,Mobile and Web Development,"303,435",Intermediate Level,4.7,"1,727 ratings"
173,Animal Behaviour and Welfare,Health,Animal Health,"158,899",Approx. 10 hours to complete,4.8,"3,128 ratings"
174,Animals and Institutions,Social Sciences,Governance and Society,"7,555",Beginner Level,5.0,8 ratings
175,"Animals, Self, and Society",Social Sciences,Governance and Society,"15,131",Beginner Level,4.6,19 ratings
176,Annual Campaigns: Building a Case for Support,Business,Business Strategy,"7,763",Beginner Level,4.2,28 ratings
177,Antibiotic Stewardship ,Health,Public Health,"23,991",Advanced Level,4.5,126 ratings
178,"Anticipating Your Next Battle, in Business and Beyond",Business,Business Strategy,"9,357",Beginner Level,4.5,82 ratings
179,Antimicrobial resistance - theory and methods,Health,Basic Science,"67,708",Intermediate Level,4.7,"1,426 ratings"
180,Anti-Racism I,Social Sciences,Governance and Society,"58,850",Beginner Level,4.4,11 ratings
181,Antisemitism: From Its Origins to the Present,Arts and Humanities,History,"22,787",Beginner Level,4.9,18 ratings
182,Preparing for the AP Physics 1 Exam,Physical Science and Engineering,Physics and Astronomy,"2,432",Approx. 16 hours to complete,4.3,
183,API Design and Fundamentals of Google Cloud's Apigee API Platform,Computer Science,Design and Product,"41,322",Intermediate Level,4.7,
184,API Development on Google Cloud's Apigee API Platform,Computer Science,Software Development,"14,890",Intermediate Level,4.6,865 ratings
185,API Security on Google Cloud's Apigee API Platform,Computer Science,Software Development,"13,622",Intermediate Level,4.6,602 ratings
186,"App Deployment, Debugging, and Performance",Computer Science,Software Development,"22,876",Intermediate Level,4.6,"1,006 ratings"
187,Developing Android Apps with App Inventor,Computer Science,Mobile and Web Development,"68,659",Beginner Level,4.2,199 ratings
188,Application Systems Programming,Computer Science,Software Development,"7,774",Intermediate Level,4.5,
189,Calculus: Single Variable Part 4 - Applications,Math and Logic,Math and Logic,"13,387",Approx. 21 hours to complete,4.9,188 ratings
190,Applied Data Science Capstone,Data Science,Data Analysis,"391,837",Intermediate Level,4.7,
191,Apply Generative Adversarial Networks (GANs),Data Science,Machine Learning,"14,923",Approx. 14 hours to complete,,
192,Applying Data Analytics in Finance,Business,Leadership and Management,"35,339",Intermediate Level,4.5,141 ratings
193,Applying Data Analytics in Marketing,Business,Leadership and Management,"95,520",Intermediate Level,4.4,88 ratings
194,How to Apply to College,Personal Development,Personal Development,"11,134",Beginner Level,4.7,153 ratings
195,Leading Positive Change through Appreciative Inquiry,Business,Leadership and Management,"11,360",Approx. 13 hours to complete,4.8,174 ratings
196,Approximation Algorithms,Computer Science,Algorithms,"9,740",Intermediate Level,4.6,21 ratings
197,Approximation Algorithms Part I,Computer Science,Algorithms,"7,650",Approx. 36 hours to complete,4.7,132 ratings
198,Approximation Algorithms Part II,Computer Science,Algorithms,"4,030",Approx. 33 hours to complete,4.8,44 ratings
199,Introduction to Augmented Reality and ARCore,Computer Science,Mobile and Web Development,"106,427",Beginner Level,4.5,
200,AR (Augmented Reality) & Video Streaming Services Emerging Technologies,Information Technology,Cloud Computing,"32,257",Beginner Level,4.6,58 ratings
201,خيارات لسانية لمحترفي الإعلام باللغة العربية,Language Learning,Learning English,"7,411",Beginner Level,4.8,38 ratings
202,International Law in Action: the Arbitration of International Disputes,Social Sciences,Law,"40,723",Approx. 11 hours to complete,4.8,
203,Archaeoastronomy,Physical Science and Engineering,Physics and Astronomy,"51,623",Beginner Level,4.5,
204,At the Origins of the Mediterranean Civilization: Archaeology of the City from the Levant to the West - 3rd-1st millennium BC,Arts and Humanities,History,"24,628",Beginner Level,4.5,272 ratings
205,Introduzione alla Storia dell'Architettura Contemporanea,Arts and Humanities,Music and Art,"7,329",Beginner Level,4.7,91 ratings
206,Arch of Titus: Rome and the Menorah,Arts and Humanities,History,"4,947",Approx. 10 hours to complete,4.5,104 ratings
207,"Arctic Change & the Nexus of Governance, Economics & Culture",Social Sciences,Economics,0,Approx. 10 hours to complete,,
208,Introduction to the Arctic: Climate,Physical Science and Engineering,Environmental Science and Sustainability,"15,858",Approx. 9 hours to complete,4.5,333 ratings
209,"The Changing Arctic: Present, Past, & Future",Physical Science and Engineering,Environmental Science and Sustainability,0,Approx. 12 hours to complete,,
210,Building Arduino robots and devices,Physical Science and Engineering,Electrical Engineering,"113,148",Beginner Level,4.3,
211,The Arduino Platform and C Programming,Computer Science,Software Development,"352,939",Approx. 13 hours to complete,4.6,"5,950 ratings"
212,Ancient Philosophy: Aristotle and His Successors,Arts and Humanities,Philosophy,"28,095",Approx. 15 hours to complete,4.8,586 ratings
213,Aromatherapy: Clinical Use of Essential Oils,Health,Research,"63,194",Approx. 17 hours to complete,4.8,
214,Arranging for Songwriters,Arts and Humanities,Music and Art,"18,945",Approx. 9 hours to complete,4.4,
215,Art & Activity: Interactive Strategies for Engaging with Art,Arts and Humanities,Music and Art,"31,957",Approx. 9 hours to complete,4.8,958 ratings
216,The Art of Negotiation,Business,Business Essentials,"141,717",Approx. 7 hours to complete,4.4,"2,041 ratings"
217,Art and Science of Machine Learning,Data Science,Machine Learning,"29,072",Intermediate Level,4.6,"1,292 ratings"
218,Business Application of Machine Learning and Artificial Intelligence in Healthcare,Business,Business Strategy,"12,226",Intermediate Level,4.0,41 ratings
219,Art & Inquiry: Museum Teaching Strategies For Your Classroom,Social Sciences,Education,"11,292",Approx. 9 hours to complete,4.7,365 ratings
220,Leading Innovation in Arts and Culture,Business,Entrepreneurship,"8,661",Approx. 27 hours to complete,4.4,36 ratings
221,Arts and Culture Strategy,Social Sciences,Governance and Society,"8,710",Approx. 9 hours to complete,4.7,149 ratings
222,Arts and Heritage Management,Business,Marketing,"47,854",Approx. 16 hours to complete,4.8,786 ratings
223,Asian Environmental Humanities: Landscapes in Transition,Arts and Humanities,Music and Art,"22,886",Beginner Level,4.7,97 ratings
224,Genome Assembly Programming Challenge,Computer Science,Algorithms,"19,109",Advanced Level,4.5,249 ratings
225,Assessment in Higher Education: Professional Development for Teachers,Social Sciences,Education,"39,213",Intermediate Level,4.8,206 ratings
226,Assessment for Learning,Social Sciences,Education,"41,264",Beginner Level,4.6,82 ratings
227,Asset Creation and Management,Computer Science,Design and Product,"20,671",Intermediate Level,4.7,91 ratings
228,Accounting Analysis I: Measurement and Disclosure of Assets,Business,Business Essentials,"30,888",Intermediate Level,4.8,97 ratings
229,Astronomy: Exploring Time and Space,Physical Science and Engineering,Physics and Astronomy,"383,684",Beginner Level,4.8,"2,355 ratings"
230,Astrobiology and the Search for Extraterrestrial Life,Physical Science and Engineering,Physics and Astronomy,"60,329",Approx. 11 hours to complete,4.8,"2,034 ratings"
231,Astrobiology: Exploring Other Worlds,Physical Science and Engineering,Physics and Astronomy,"52,709",Beginner Level,4.9,
232,Confronting The Big Questions: Highlights of Modern Astronomy,Physical Science and Engineering,Physics and Astronomy,"13,662",Approx. 11 hours to complete,4.6,405 ratings
233,AstroTech: The Science and Technology behind Astronomical Discovery,Physical Science and Engineering,Physics and Astronomy,"22,608",Beginner Level,4.7,
234,Asymmetric Cryptography and Key Management,Computer Science,Computer Security and Networks,"18,638",Intermediate Level,4.6,166 ratings
235,Assessment and Teaching of 21st Century Skills,Social Sciences,Education,"28,019",Approx. 17 hours to complete,4.6,86 ratings
236,Natural Language Processing with Attention Models,Data Science,Machine Learning,"343,275",Intermediate Level,4.3,
237,Fundamentals of Audio and Music Engineering: Part 1 Musical Sound & Electronics,Physical Science and Engineering,Electrical Engineering,"23,610",Approx. 14 hours to complete,4.6,
238,Audio Signal Processing for Music Applications,Computer Science,Software Development,"47,275",Intermediate Level,4.9,247 ratings
239,Auditing I: Conceptual Foundations of Auditing,Business,Business Essentials,"159,905",Approx. 27 hours to complete,4.7,231 ratings
240,Auditing II: The Practice of Auditing,Business,Business Essentials,"33,060",Approx. 23 hours to complete,4.7,
241,Getting started with Augmented Reality,Computer Science,Mobile and Web Development,"5,614",Intermediate Level,4.3,
242,Understanding the Australian economy: An introduction to macroeconomic and financial policies,Social Sciences,Economics,"4,842",Approx. 14 hours to complete,,18 ratings
243,Autism Spectrum Disorder,Health,Patient Care,"128,376",Approx. 6 hours to complete,4.7,"1,965 ratings"
244,Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,Physical Science and Engineering,Mechanical Engineering,"209,704",Advanced Level,4.7,"1,322 ratings"
245,Autodesk Certified Professional: Civil 3D for Infrastructure Design Exam Prep,Physical Science and Engineering,Mechanical Engineering,"64,612",Advanced Level,4.8,213 ratings
246,Autodesk Certified Professional: Inventor for Mechanical Design Exam Prep,Physical Science and Engineering,Mechanical Engineering,"14,878",Advanced Level,4.7,75 ratings
247,Autodesk Certified Professional: Revit for Architectural Design Exam Prep,Physical Science and Engineering,Mechanical Engineering,"100,619",Advanced Level,4.7,396 ratings
248,Autodesk Certified Professional: Revit for Structural Design Exam Prep,Physical Science and Engineering,Mechanical Engineering,"57,804",Advanced Level,4.7,209 ratings
